EmployeeID,Name,Department,Designation,JoiningDate,Email,Phone,Location
EMP0001,Devyani Suresh Deore,Marketing,Brand Manager,02-11-2021,deoredevayani26@gmail.com,8999865483,Mumbai
EMP0002,Ashwini Anil Nikumbh,Finance,Account Executive,15-03-2022,nikumbhashwini17@gmail.com,9699357734,Pune
EMP0003,Khushbu Arun Jain,Human Resources,HR Specialist,28-06-2023,jainkhushbu1810@gmail.com,8055090520,Nashik
EMP0004,Mansi Anil Badgujar,IT,Software Engineer,19-08-2020,mansibadgujar99@gmail.com,7498448752,Nagpur
EMP0005,Nicholas Ortiz,Product,Admin Officer,14-07-2021,vjenkins@rios.com,(257)835-5072x364,North Caroline
EMP0006,Randy Drake,Admin,Marketing Specialist,26-12-2015,harmstrong@mann.com,688.097.9407,Barkerhaven
EMP0007,Andrew Quinn,Finance,Product Manager,12-10-2020,bhill@moore.com,(330)193-3660x415,Meadowsborough
EMP0008,Jason Diaz,Admin,Data Scientist,20-06-2022,jeremyross@duffy.com,(809)134-2846x59530,New Gabrielchester
EMP0009,Nicole Martinez,Customer Support,Operations Coordinator,14-06-2022,michael21@yahoo.com,804.617.6938x705,New Michael
EMP0010,Michelle Warner,Admin,Operations Coordinator,13-06-2025,iperkins@yahoo.com,304.221.9726,Jeffton
EMP0011,Christopher Espinoza,Admin,Marketing Specialist,21-10-2022,jessicahughes@clark-reyes.org,-2099,New James
EMP0012,Katherine Walker,Operations,Admin Officer,31-12-2021,karen49@garcia-bridges.org,249.435.3439x4789,Danielside
EMP0013,Jacob Dean,Customer Support,Product Manager,12-04-2019,angela64@bradley.info,001-022-412-6189x72281,Andrewview
EMP0014,Monica Davidson,Admin,Admin Officer,06-11-2018,melissahebert@cole.com,066-855-2091,Nguyenview
EMP0015,Johnathan Farley,Sales,Software Engineer,13-06-2024,aswanson@hotmail.com,001-712-799-0743x5870,Lake Ryan
EMP0016,Ronnie Hardin,Engineering,HR Manager,17-09-2017,kevinrose@mcfarland-humphrey.com,415-114-9495,Port Sheila
EMP0017,Steven Gilmore,Operations,Data Scientist,03-10-2023,ejones@hotmail.com,001-248-405-4003x20118,South Allison
EMP0018,Crystal Peterson,Marketing,Admin Officer,05-09-2021,hoffmancindy@diaz.com,793.620.5573,Lake Brookeville
EMP0019,Theresa Mitchell,Customer Support,Software Engineer,13-06-2018,michele23@herrera-allen.com,(081)133-7990x6885,Jacquelinechester
EMP0020,Danielle Torres,Finance,Product Manager,24-06-2021,mvance@sanders-moore.com,(768)829-8548,South Tyler
EMP0021,Robert Hodges,Admin,Finance Executive,05-07-2023,joanrobbins@singh.com,819-869-9610x577,Williamshaven
EMP0022,James Castillo,Customer Support,Data Scientist,22-04-2016,robertlawrence@yahoo.com,001-346-998-3857,Claytonview
EMP0023,Amanda Lee,Product,Customer Support Executive,07-07-2020,llucero@davis-hayes.com,2010300711,East Rogerstad
EMP0024,Hunter Jones,Customer Support,HR Manager,13-11-2024,mccallmitchell@gmail.com,001-951-536-0937x1026,Port Nicole
EMP0025,Karen Lee,Customer Support,Marketing Specialist,20-12-2016,gutierreztimothy@jacobs-horton.net,+1-101-781-7937x33158,Carolineside
EMP0026,Kristina Mcbride,Customer Support,Software Engineer,26-10-2021,schmidtmatthew@yahoo.com,(343)936-6675,North Mary
EMP0027,Richard Yates,Admin,Customer Support Executive,22-07-2016,jessicafuller@james-chase.com,+1-465-624-0600x10497,West Caitlin
EMP0028,Nicole Contreras,HR,HR Manager,21-08-2022,malonecolleen@davis-cochran.org,001-969-167-2606x886,West Krystalport
EMP0029,Molly Cole,Marketing,Sales Manager,16-06-2023,judyfitzgerald@yahoo.com,001-641-529-3267x4982,Gregoryberg
EMP0030,Rachel Lopez,Engineering,Software Engineer,24-07-2025,orobinson@george.info,001-760-305-5202,South Josephberg
EMP0031,Paul King,Admin,Marketing Specialist,18-04-2022,melinda59@hill.info,+1-941-515-9220x14702,North Kristy
EMP0032,Kyle Gonzalez,Product,Data Scientist,19-11-2020,mosborne@douglas-pena.com,208-537-3579x65436,New Marcus
EMP0033,Melanie Clark,Product,Data Scientist,23-03-2021,smithchristina@ross-trujillo.com,196.032.7202,Melanieport
EMP0034,Virginia Richmond,IT,HR Manager,08-02-2023,vgarcia@hotmail.com,897-052-5452x19857,Littlemouth
EMP0035,Cassandra Torres,Engineering,Customer Support Executive,16-05-2023,robertthomas@gmail.com,+1-347-718-0290x2050,East Jason
EMP0036,Joe Bennett,Finance,Data Scientist,04-08-2018,tina57@hotmail.com,3954605929,Dominicside
EMP0037,Misty Fernandez,Sales,HR Manager,10-02-2022,ashleycarlson@gilbert.com,6462744547,Baldwinmouth
EMP0038,Deborah Ford,Admin,Operations Coordinator,30-12-2018,xgarrett@henderson-armstrong.org,(129)025-7410,Frankberg
EMP0039,Peggy Vargas,Engineering,Operations Coordinator,05-11-2020,cfoster@russell.com,073.586.1418,Pinedachester
EMP0040,Lori Rodriguez,HR,Sales Manager,06-10-2021,kylepatterson@yahoo.com,001-457-231-3124x4913,Travistown
EMP0041,Jessica Miller,Operations,Data Scientist,23-03-2016,olsonchristy@gmail.com,364.982.0550,New Cynthiastad
EMP0042,Maria Henson,Product,Customer Support Executive,29-07-2023,shannon56@yahoo.com,917.392.2662x28292,Obrienberg
EMP0043,Laura Moreno,Sales,HR Manager,21-01-2019,owright@allen.com,350-480-4556,Port Joshuashire
EMP0044,Dylan Sanchez,HR,Admin Officer,01-05-2023,thomas23@gmail.com,775-086-3014,Santosborough
EMP0045,Michelle Parker,Sales,Product Manager,01-04-2020,macdonaldsamuel@hotmail.com,009.491.9198x634,East Shane
EMP0046,Stephen Hull,Marketing,Software Engineer,13-05-2021,uwilliams@jones.biz,071.356.4993x592,Mendozatown
EMP0047,Jennifer Williams,Sales,Product Manager,14-11-2020,vrivera@orr-gomez.com,+1-810-554-6603x609,Stricklandmouth
EMP0048,David Mclean,Product,Data Scientist,22-04-2024,njensen@yahoo.com,(257)571-0100,West Michael
EMP0049,Shelia Chen,Product,Data Scientist,06-12-2018,shanebishop@gmail.com,693.398.4127,Bakerstad
EMP0050,Deborah Walker,Product,Data Scientist,12-01-2024,brianryan@gmail.com,(497)328-4419x82640,South Connor
EMP0051,Amanda Melton,IT,Sales Manager,03-11-2020,clarkehannah@stevenson-smith.biz,(368)020-8676,Danielside
EMP0052,Gabriel Walker,IT,Finance Executive,14-12-2018,hallcraig@yahoo.com,456.539.0745x364,North Davidbury
EMP0053,Ashley Morrison,Marketing,Marketing Specialist,20-07-2023,jevans@gmail.com,(876)691-7854x6934,Perezville
EMP0054,Tamara Brown,Operations,Finance Executive,01-04-2023,amymills@waters.com,001-986-439-4114,New Katherine
EMP0055,Mrs. Angela Ryan,Operations,Software Engineer,02-09-2015,johnsonemily@gmail.com,589-516-0001x451,Fosterland
EMP0056,Ricardo Lopez,Operations,Sales Manager,08-01-2023,benjamin35@gmail.com,-10803,North Jessicaton
EMP0057,Jennifer Ortega,HR,Admin Officer,12-05-2018,wjones@brown-mathis.biz,409.426.8086,Courtneyfurt
EMP0058,Christine Ward,HR,Admin Officer,08-01-2016,phall@estrada.com,1564708829,East Angela
