EmployeeID,Name,Department,Designation,JoiningDate,Email,Phone,Location
EMP0001,Nicholas Ortiz,Product,Admin Officer,2021-07-14,vjenkins@rios.com,(257)835-5072x364,North Caroline
EMP0002,Randy Drake,Admin,Marketing Specialist,2015-12-26,harmstrong@mann.com,688.097.9407,Barkerhaven
EMP0003,Andrew Quinn,Finance,Product Manager,2020-10-12,bhill@moore.com,(330)193-3660x415,Meadowsborough
EMP0004,Jason Diaz,Admin,Data Scientist,2022-06-20,jeremyross@duffy.com,(809)134-2846x59530,New Gabrielchester
EMP0005,Nicole Martinez,Customer Support,Operations Coordinator,2022-06-14,michael21@yahoo.com,804.617.6938x705,New Michael
EMP0006,Michelle Warner,Admin,Operations Coordinator,2025-06-13,iperkins@yahoo.com,304.221.9726,Jeffton
EMP0007,Christopher Espinoza,Admin,Marketing Specialist,2022-10-21,jessicahughes@clark-reyes.org,+1-403-057-1640,New James
EMP0008,Katherine Walker,Operations,Admin Officer,2021-12-31,karen49@garcia-bridges.org,249.435.3439x4789,Danielside
EMP0009,Jacob Dean,Customer Support,Product Manager,2019-04-12,angela64@bradley.info,001-022-412-6189x72281,Andrewview
EMP0010,Monica Davidson,Admin,Admin Officer,2018-11-06,melissahebert@cole.com,066-855-2091,Nguyenview
EMP0011,Johnathan Farley,Sales,Software Engineer,2024-06-13,aswanson@hotmail.com,001-712-799-0743x5870,Lake Ryan
EMP0012,Ronnie Hardin,Engineering,HR Manager,2017-09-17,kevinrose@mcfarland-humphrey.com,415-114-9495,Port Sheila
EMP0013,Steven Gilmore,Operations,Data Scientist,2023-10-03,ejones@hotmail.com,001-248-405-4003x20118,South Allison
EMP0014,Crystal Peterson,Marketing,Admin Officer,2021-09-05,hoffmancindy@diaz.com,793.620.5573,Lake Brookeville
EMP0015,Theresa Mitchell,Customer Support,Software Engineer,2018-06-13,michele23@herrera-allen.com,(081)133-7990x6885,Jacquelinechester
EMP0016,Danielle Torres,Finance,Product Manager,2021-06-24,mvance@sanders-moore.com,(768)829-8548,South Tyler
EMP0017,Robert Hodges,Admin,Finance Executive,2023-07-05,joanrobbins@singh.com,819-869-9610x577,Williamshaven
EMP0018,James Castillo,Customer Support,Data Scientist,2016-04-22,robertlawrence@yahoo.com,001-346-998-3857,Claytonview
EMP0019,Amanda Lee,Product,Customer Support Executive,2020-07-07,llucero@davis-hayes.com,2010300711,East Rogerstad
EMP0020,Hunter Jones,Customer Support,HR Manager,2024-11-13,mccallmitchell@gmail.com,001-951-536-0937x1026,Port Nicole
EMP0021,Karen Lee,Customer Support,Marketing Specialist,2016-12-20,gutierreztimothy@jacobs-horton.net,+1-101-781-7937x33158,Carolineside
EMP0022,Kristina Mcbride,Customer Support,Software Engineer,2021-10-26,schmidtmatthew@yahoo.com,(343)936-6675,North Mary
EMP0023,Richard Yates,Admin,Customer Support Executive,2016-07-22,jessicafuller@james-chase.com,+1-465-624-0600x10497,West Caitlin
EMP0024,Nicole Contreras,HR,HR Manager,2022-08-21,malonecolleen@davis-cochran.org,001-969-167-2606x886,West Krystalport
EMP0025,Molly Cole,Marketing,Sales Manager,2023-06-16,judyfitzgerald@yahoo.com,001-641-529-3267x4982,Gregoryberg
EMP0026,Rachel Lopez,Engineering,Software Engineer,2025-07-24,orobinson@george.info,001-760-305-5202,South Josephberg
